"","employees","salaries_2017","adjustments_2017","salaries_2018","got_raise"
"64","Employee 64",45034.2019437812,7777.51060202718,52811.7125458084,TRUE
"65","Employee 65",41144.2836094648,388.855730416253,41533.139339881,TRUE
"66","Employee 66",40683.5193629377,6921.85836029239,47605.37772323,TRUE
"67","Employee 67",45744.8070915416,-2205.18392627127,43539.6231652703,FALSE
"68","Employee 68",44968.8708502799,6117.14437603951,51086.0152263194,TRUE
"69","Employee 69",45901.3469959609,4707.28156622499,50608.6285621859,TRUE
"70","Employee 70",43859.6668210812,6196.53069414198,50056.1975152232,TRUE
"71","Employee 71",43578.7145700306,-2733.98228222504,40844.7322878055,FALSE
"72","Employee 72",49466.2298075855,1945.928002242,51412.1578098275,TRUE
"73","Employee 73",44034.7048430704,5432.49725364149,49467.2020967118,TRUE
"74","Employee 74",49135.6836352497,2236.62201547995,51372.3056507297,TRUE
"75","Employee 75",46447.2989412025,1004.59250272252,47451.891443925,TRUE
"76","Employee 76",43440.1999902911,-4324.87324927934,39115.3267410118,FALSE
"77","Employee 77",40340.884453617,-3393.08791910298,36947.7965345141,FALSE
"78","Employee 78",49842.3772491515,9385.9515665099,59228.3288156614,TRUE
"79","Employee 79",44471.8587957323,54.9403496552259,44526.7991453875,TRUE
"80","Employee 80",48134.7222230397,4340.71375173517,52475.4359747749,TRUE
"81","Employee 81",48970.1352803968,-814.995653927326,48155.1396264695,FALSE
"82","Employee 82",46337.1792901307,5696.33570848964,52033.5149986204,TRUE
"83","Employee 83",45916.6522254236,6562.27217521518,52478.9244006388,TRUE
"84","Employee 84",43744.2994490266,7326.37597480789,51070.6754238345,TRUE
"85","Employee 85",45683.2589930855,9838.21378322318,55521.4727763087,TRUE
"86","Employee 86",41557.7902831137,7631.28089369275,49189.0711768065,TRUE
"87","Employee 87",47814.4582780078,9166.42485302873,56980.8831310365,TRUE
"88","Employee 88",43603.81340608,-2002.70847300999,41601.10493307,FALSE
"89","Employee 89",42870.0969228521,7497.57787329145,50367.6747961435,TRUE
"90","Employee 90",45492.3210549168,6609.49257668108,52101.8136315979,TRUE
"91","Employee 91",40851.6171970405,8513.57782958075,49365.1950266212,TRUE
"92","Employee 92",41488.6605646461,3665.11152358726,45153.7720882334,TRUE
"93","Employee 93",46472.5626516156,604.131523286924,47076.6941749025,TRUE
"94","Employee 94",48731.0664355755,7369.0164485015,56100.082884077,TRUE
"95","Employee 95",45923.5870745033,-3282.69838704728,42640.888687456,FALSE
"96","Employee 96",43125.8361157961,8289.20496162027,51415.0410774164,TRUE
"97","Employee 97",47800.7600991987,-4025.4839474801,43775.2761517186,FALSE
"98","Employee 98",48010.0009893067,2866.87812302262,50876.8791123293,TRUE
"99","Employee 99",40109.9269394763,6973.29540736973,47083.222346846,TRUE
"100","Employee 100",45553.0309863389,3260.63423301093,48813.6652193498,TRUE
